Dataset,Subset_Size,Dimension,LDA_Accuracy,SVM_Accuracy
fashion_mnist,20,2,0.4081,0.3557
fashion_mnist,20,5,0.4917,0.4793
fashion_mnist,20,10,0.3916,0.5126
fashion_mnist,20,15,0.4845,0.5392
fashion_mnist,20,20,0.5028,0.5729
fashion_mnist,50,2,0.4957,0.4303
fashion_mnist,50,5,0.5531,0.5305
fashion_mnist,50,10,0.5776,0.5565
fashion_mnist,50,15,0.5877,0.5523
fashion_mnist,50,20,0.6208,0.5919
fashion_mnist,50,50,0.6444,0.6146
fashion_mnist,100,2,0.5079,0.4603
fashion_mnist,100,5,0.6177,0.5995
fashion_mnist,100,10,0.6344,0.6045
fashion_mnist,100,15,0.6661,0.6497
fashion_mnist,100,20,0.6807,0.6543
fashion_mnist,100,50,0.6996,0.6491
fashion_mnist,100,100,0.6701,0.6142
fashion_mnist,200,2,0.515,0.4575
fashion_mnist,200,5,0.6121,0.6039
fashion_mnist,200,10,0.6861,0.6775
fashion_mnist,200,15,0.7052,0.6878
fashion_mnist,200,20,0.711,0.7025
fashion_mnist,200,50,0.7326,0.6653
fashion_mnist,200,100,0.7109,0.5966
fashion_mnist,200,150,0.6845,0.5495
fashion_mnist,200,200,0.6196,0.4805
fashion_mnist,1000,2,0.5048,0.4588
fashion_mnist,1000,5,0.6273,0.6271
fashion_mnist,1000,10,0.7122,0.7245
fashion_mnist,1000,15,0.7322,0.7459
fashion_mnist,1000,20,0.7444,0.7597
fashion_mnist,1000,50,0.768,0.7588
fashion_mnist,1000,100,0.7708,0.7173
fashion_mnist,1000,150,0.7685,0.6787
fashion_mnist,1000,200,0.77,0.6666
fashion_mnist,1000,250,0.766,0.6531
fashion_mnist,1000,300,0.76,0.6302
fashion_mnist,1000,324,0.7552,0.6152
fashion_mnist,5000,2,0.4987,0.4575
fashion_mnist,5000,5,0.6437,0.6474
fashion_mnist,5000,10,0.7091,0.7246
fashion_mnist,5000,15,0.7349,0.757
fashion_mnist,5000,20,0.7582,0.7757
fashion_mnist,5000,50,0.7772,0.8027
fashion_mnist,5000,100,0.79,0.8021
fashion_mnist,5000,150,0.7967,0.803
fashion_mnist,5000,200,0.8021,0.7994
fashion_mnist,5000,250,0.8032,0.7908
fashion_mnist,5000,300,0.801,0.7775
fashion_mnist,5000,324,0.7995,0.7727
fashion_mnist,10000,2,0.5003,0.4587
fashion_mnist,10000,5,0.645,0.6521
fashion_mnist,10000,10,0.7121,0.7294
fashion_mnist,10000,15,0.7372,0.7614
fashion_mnist,10000,20,0.7626,0.781
fashion_mnist,10000,50,0.7794,0.8074
fashion_mnist,10000,100,0.7899,0.8196
fashion_mnist,10000,150,0.7984,0.8225
fashion_mnist,10000,200,0.8034,0.8177
fashion_mnist,10000,250,0.8049,0.8149
fashion_mnist,10000,300,0.8033,0.8099
fashion_mnist,10000,324,0.8045,0.8062
fashion_mnist,20000,2,0.4994,0.4543
fashion_mnist,20000,5,0.6471,0.6554
fashion_mnist,20000,10,0.7126,0.7277
fashion_mnist,20000,15,0.738,0.7597
fashion_mnist,20000,20,0.7618,0.7825
fashion_mnist,20000,50,0.7795,0.8083
fashion_mnist,20000,100,0.7932,0.8203
fashion_mnist,20000,150,0.8019,0.8273
fashion_mnist,20000,200,0.8064,0.8295
fashion_mnist,20000,250,0.8073,0.8307
fashion_mnist,20000,300,0.8062,0.8313
fashion_mnist,20000,324,0.8067,0.8301
fashion_mnist,40000,2,0.4965,0.4551
fashion_mnist,40000,5,0.6436,0.6535
fashion_mnist,40000,10,0.7099,0.7276
fashion_mnist,40000,15,0.7376,0.7616
fashion_mnist,40000,20,0.7597,0.7836
fashion_mnist,40000,50,0.7793,0.8083
fashion_mnist,40000,100,0.7928,0.8221
fashion_mnist,40000,150,0.8003,0.8321
fashion_mnist,40000,200,0.8085,0.8338
fashion_mnist,40000,250,0.8068,0.8376
fashion_mnist,40000,300,0.8069,0.8386
fashion_mnist,40000,324,0.8082,0.8384
fashion_mnist,60000,2,0.4972,0.4544
fashion_mnist,60000,5,0.6444,0.6544
fashion_mnist,60000,10,0.7103,0.7272
fashion_mnist,60000,15,0.7381,0.761
fashion_mnist,60000,20,0.7601,0.7833
fashion_mnist,60000,50,0.7793,0.8083
fashion_mnist,60000,100,0.795,0.8241
fashion_mnist,60000,150,0.7996,0.832
fashion_mnist,60000,200,0.8087,0.8365
fashion_mnist,60000,250,0.8092,0.8411
fashion_mnist,60000,300,0.8084,0.841
fashion_mnist,60000,324,0.8081,0.8417
