Run,Ratio,Method,Accuracy
0,0.01,LDA (Supervised),0.9285
0,0.01,SVM (Supervised),0.8818
0,0.01,LDA Self-Training,0.939
0,0.01,SVM Self-Training,0.9346
0,0.01,LDA-EM,0.9319
0,0.05,LDA (Supervised),0.9478
0,0.05,SVM (Supervised),0.9376
0,0.05,LDA Self-Training,0.9471
0,0.05,SVM Self-Training,0.957
0,0.05,LDA-EM,0.9505
0,0.1,LDA (Supervised),0.9523
0,0.1,SVM (Supervised),0.9488
0,0.1,LDA Self-Training,0.9489
0,0.1,SVM Self-Training,0.9618
0,0.1,LDA-EM,0.9542
0,0.2,LDA (Supervised),0.9555
0,0.2,SVM (Supervised),0.9596
0,0.2,LDA Self-Training,0.9507
0,0.2,SVM Self-Training,0.9649
0,0.2,LDA-EM,0.9553
0,0.5,LDA (Supervised),0.9577
0,0.5,SVM (Supervised),0.9702
0,0.5,LDA Self-Training,0.9541
0,0.5,SVM Self-Training,0.9708
0,0.5,LDA-EM,0.9565
1,0.01,LDA (Supervised),0.9339
1,0.01,SVM (Supervised),0.8824
1,0.01,LDA Self-Training,0.9456
1,0.01,SVM Self-Training,0.9366
1,0.01,LDA-EM,0.9403
1,0.05,LDA (Supervised),0.9478
1,0.05,SVM (Supervised),0.9375
1,0.05,LDA Self-Training,0.9477
1,0.05,SVM Self-Training,0.9577
1,0.05,LDA-EM,0.9518
1,0.1,LDA (Supervised),0.9524
1,0.1,SVM (Supervised),0.9501
1,0.1,LDA Self-Training,0.949
1,0.1,SVM Self-Training,0.9609
1,0.1,LDA-EM,0.9537
1,0.2,LDA (Supervised),0.9555
1,0.2,SVM (Supervised),0.9616
1,0.2,LDA Self-Training,0.9501
1,0.2,SVM Self-Training,0.9681
1,0.2,LDA-EM,0.955
1,0.5,LDA (Supervised),0.9578
1,0.5,SVM (Supervised),0.9687
1,0.5,LDA Self-Training,0.9536
1,0.5,SVM Self-Training,0.9715
1,0.5,LDA-EM,0.9572
2,0.01,LDA (Supervised),0.9295
2,0.01,SVM (Supervised),0.8732
2,0.01,LDA Self-Training,0.942
2,0.01,SVM Self-Training,0.9244
2,0.01,LDA-EM,0.9356
2,0.05,LDA (Supervised),0.9487
2,0.05,SVM (Supervised),0.9337
2,0.05,LDA Self-Training,0.9469
2,0.05,SVM Self-Training,0.9538
2,0.05,LDA-EM,0.9481
2,0.1,LDA (Supervised),0.9531
2,0.1,SVM (Supervised),0.9498
2,0.1,LDA Self-Training,0.9471
2,0.1,SVM Self-Training,0.9579
2,0.1,LDA-EM,0.9518
2,0.2,LDA (Supervised),0.9551
2,0.2,SVM (Supervised),0.9594
2,0.2,LDA Self-Training,0.9499
2,0.2,SVM Self-Training,0.9637
2,0.2,LDA-EM,0.9545
2,0.5,LDA (Supervised),0.9571
2,0.5,SVM (Supervised),0.9685
2,0.5,LDA Self-Training,0.9537
2,0.5,SVM Self-Training,0.9698
2,0.5,LDA-EM,0.9575
3,0.01,LDA (Supervised),0.9309
3,0.01,SVM (Supervised),0.8744
3,0.01,LDA Self-Training,0.9435
3,0.01,SVM Self-Training,0.9279
3,0.01,LDA-EM,0.9358
3,0.05,LDA (Supervised),0.9478
3,0.05,SVM (Supervised),0.9329
3,0.05,LDA Self-Training,0.948
3,0.05,SVM Self-Training,0.9556
3,0.05,LDA-EM,0.9478
3,0.1,LDA (Supervised),0.9526
3,0.1,SVM (Supervised),0.9486
3,0.1,LDA Self-Training,0.9493
3,0.1,SVM Self-Training,0.961
3,0.1,LDA-EM,0.9525
3,0.2,LDA (Supervised),0.9557
3,0.2,SVM (Supervised),0.959
3,0.2,LDA Self-Training,0.9509
3,0.2,SVM Self-Training,0.9665
3,0.2,LDA-EM,0.9556
3,0.5,LDA (Supervised),0.9573
3,0.5,SVM (Supervised),0.9691
3,0.5,LDA Self-Training,0.954
3,0.5,SVM Self-Training,0.9703
3,0.5,LDA-EM,0.9572
4,0.01,LDA (Supervised),0.9255
4,0.01,SVM (Supervised),0.8805
4,0.01,LDA Self-Training,0.9395
4,0.01,SVM Self-Training,0.9319
4,0.01,LDA-EM,0.9348
4,0.05,LDA (Supervised),0.9455
4,0.05,SVM (Supervised),0.9372
4,0.05,LDA Self-Training,0.9453
4,0.05,SVM Self-Training,0.956
4,0.05,LDA-EM,0.946
4,0.1,LDA (Supervised),0.9507
4,0.1,SVM (Supervised),0.9444
4,0.1,LDA Self-Training,0.9481
4,0.1,SVM Self-Training,0.9594
4,0.1,LDA-EM,0.9508
4,0.2,LDA (Supervised),0.9545
4,0.2,SVM (Supervised),0.9594
4,0.2,LDA Self-Training,0.9505
4,0.2,SVM Self-Training,0.9645
4,0.2,LDA-EM,0.9552
4,0.5,LDA (Supervised),0.9585
4,0.5,SVM (Supervised),0.9706
4,0.5,LDA Self-Training,0.9545
4,0.5,SVM Self-Training,0.9716
4,0.5,LDA-EM,0.9574
